"","maxgroup","value.IV","mean","sd","p"
"otu.838","3",11.1,"17.9","8.26",0.7742
"otu.839","1",10,"9.3","1.47",0.5749
"otu.840","3",7.7,"9.4","1.46",1
"otu.841","1",34.2,"33.7","7.38",0.3947
"otu.842","2",31.5,"22.4","8.94",0.1386
"otu.843","2",55,"37.4","7.35",0.0242
"otu.844","3",37,"22.2","9.53",0.0868
"otu.845","2",9.4,"11","5.47",0.4411
"otu.847","3",7.2,"12","4.76",0.8812
"otu.848","3",23.1,"13.2","6.78",0.102
"otu.849","2",11.1,"9.4","1.46",0.2803
"otu.851","3",60.1,"34.1","8.52",0.0098
"otu.852","2",47.5,"39.6","9.02",0.179
"otu.853","1",17.7,"19.1","8.44",0.5757
"otu.854","1",10,"9.4","1.46",0.5915
"otu.856","2",41.9,"39.4","5.29",0.2785
"otu.858","1",9,"16.7","7.39",0.843
"otu.860","2",41.9,"19.3","7.75",0.0176
"otu.861","2",11.1,"9.4","1.46",0.2803
"otu.863","3",31.1,"30.5","10.55",0.4041
"otu.866","2",17.7,"14.4","7.31",0.2523
"otu.869","2",22.2,"12.2","4.64",0.0728
"otu.870","3",46.2,"18.1","8.42",0.0072
"otu.871","3",23.1,"14.4","6.45",0.1004
"otu.873","3",15.4,"12.3","4.52",0.3159
"otu.875","2",67.6,"49.9","11.31",0.0622
"otu.876","1",24.6,"23.8","9.5",0.4281
"otu.879","2",78.5,"28.3","9.31",2e-04
"otu.880","2",70.5,"36.2","10.61",0.0056
"otu.881","2",11.1,"9.4","1.45",0.2767
"otu.882","2",14.9,"18.3","8.54",0.5587
"otu.883","3",14.3,"23.2","9.06",0.8656
"otu.884","1",14,"21.5","9.55",0.7578
"otu.885","3",15.4,"12.3","4.69",0.3239
"otu.887","2",22.5,"21","8.91",0.3485
"otu.888","2",60.6,"38.1","10.91",0.0322
"otu.890","1",29.9,"26.8","8.8",0.3019
"otu.891","3",26.5,"24.8","9.36",0.3685
"otu.894","3",15.4,"12.2","4.55",0.3141
"otu.898","1",55,"35.4","9.42",0.041
"otu.899","2",21.4,"45.7","11.83",0.9786
"otu.900","1",38.6,"20","8.99",0.0358
"otu.901","3",12.9,"16.8","7.69",0.6197
"otu.903","3",36,"32.4","7.36",0.2639
"otu.907","2",18.9,"33.3","11.1",0.8836
"otu.910","1",14.2,"18.4","8.55",0.6013
"otu.914","3",29,"29.9","10.77",0.4579
"otu.915","1",10,"9.4","1.45",0.6045
"otu.916","3",17.4,"32","10.62",0.9736
"otu.917","3",15,"15.3","7.76",0.4323
"otu.919","3",7.7,"9.4","1.47",1
"otu.920","3",15.4,"12.2","4.55",0.3145
"otu.921","3",30.8,"14.4","7.39",0.0576
"otu.922","2",22.1,"14.8","6.22",0.1216
"otu.923","3",7.7,"9.4","1.47",1
"otu.925","2",6.9,"16.2","7.74",0.888
"otu.927","2",38.6,"38.1","7.23",0.4119
"otu.928","3",15.1,"15.2","6.32",0.4577
"otu.929","1",31.5,"28.3","9.61",0.3055
"otu.931","1",10,"9.4","1.46",0.5877
"otu.933","3",55.1,"34.5","5.78",0.0028
"otu.934","3",32.3,"24.5","8.85",0.1738
